ticker,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
EA,Electronic Arts Inc,Common stocks,Large cap,Communication Services,"$34,637,026,158 ",0.59%,43.9,0,4.54,Analyze
ED,Consolidated Edison Inc,Common stocks,Large cap,Utilities,"$34,240,716,204 ",3.23%,21.66,0,1.63,Analyze
ABC,AmerisourceBergen Corp,Common stocks,Large cap,Health Care,"$33,787,242,208 ",1.13%,19.41,0,60.9,Analyze
WELL,Welltower Inc,REITs,Large cap,Real Estate,"$33,619,900,883 ",2.55%,103.69,0,1.89,Analyze
AME,Ametek Inc,Common stocks,Large cap,Industrials,"$33,559,397,034 ",0.60%,31.13,0,4.69,Analyze
ENPH,Enphase Energy Inc,Common stocks,Large cap,Information Technology,"$33,414,091,705 ",0.00%,201.81,0,100.95,Analyze
SBAC,SBA Communications Corporation,REITs,Large cap,Real Estate,"$33,096,835,674 ",0.92%,72.1,0,-5.82,Analyze
DLTR,Dollar Tree Inc,Common stocks,Large cap,Consumer Discretionary,"$32,976,957,466 ",0.00%,23.22,0,4.27,Analyze
CSGP,Costar Group Inc,Common stocks,Large cap,Industrials,"$32,962,229,363 ",0.00%,107.14,0,5.69,Analyze
CTSH,Cognizant Technology Solutions,Common stocks,Large cap,Information Technology,"$32,921,806,934 ",1.68%,15,0,2.75,Analyze
ROK,Rockwell Automation Inc,Common stocks,Large cap,Industrials,"$32,758,145,916 ",1.57%,48.88,0,11.97,Analyze
DHI,D R Horton Inc,Common stocks,Large cap,Consumer Discretionary,"$32,718,272,667 ",0.97%,6.48,0,1.95,Analyze
KR,Kroger,Common stocks,Large cap,Consumer Staples,"$32,369,465,188 ",2.06%,29.75,0,3.43,Analyze
KEYS,Keysight Technologies Inc,Common stocks,Large cap,Information Technology,"$32,292,248,031 ",0.00%,31.72,0,8.59,Analyze
RMD,Resmed Inc,Common stocks,Large cap,Health Care,"$31,948,084,065 ",0.79%,42.47,0,10.1,Analyze
VICI,VICI Properties Inc,REITs,Large cap,Real Estate,"$31,926,693,661 ",4.45%,31.98,0,2.04,Analyze
WBD,"Warner Bros. Discovery, Inc. - Series A",Common stocks,Large cap,Communication Services,"$31,909,123,637 ",0.00%,24.6,0,2.55,Analyze
WBA,Walgreen Boots Alliance Inc,Common stocks,Large cap,Consumer Staples,"$31,722,880,716 ",5.12%,4.89,0,1.15,Analyze
BKR,Baker Hughes Company Class A,Common stocks,Large cap,Energy,"$31,676,418,575 ",2.29%,103.52,0,2.02,Analyze
OKE,Oneok Inc,Common stocks,Large cap,Energy,"$31,657,740,629 ",5.16%,20.41,0,5.12,Analyze
ILMN,Illumina Inc,Common stocks,Large cap,Health Care,"$31,634,603,000 ",0.00%,45.19,0,2.9,Analyze
PCG,Pacific Gas & Electric Co.,Common stocks,Large cap,Utilities,"$31,621,100,000 ",0.00%,122.78,0,1.45,Analyze
PEG,Public Service Enterprise Group Inc,Common stocks,Large cap,Utilities,"$31,264,190,959 ",3.40%,-23.38,0,2.23,Analyze
NDAQ,Nasdaq Inc,Common stocks,Large cap,Financials,"$31,122,557,972 ",1.23%,26.32,0,5.13,Analyze
PPG,PPG Industries Inc,Common stocks,Large cap,Materials,"$31,117,626,966 ",1.81%,27.83,0,4.83,Analyze
LYB,Lyondellbasell Industries NV,Common stocks,Large cap,Materials,"$30,520,778,105 ",4.93%,5.05,0,2.33,Analyze
GLW,Corning Inc,Common stocks,Large cap,Information Technology,"$30,508,416,332 ",2.96%,28.02,0,2.45,Analyze
